year,dist_name,precipitation
2006,Thirunelveli,106.49
2006,Thiruvallur,106.25
2006,Thiruvarur,100.7
2006,Thoothukudi,74.59
2006,Tiruchirappalli,70.75
2006,Tiruppur,57.9
2006,Tiruvannamalai,85.54
2006,Vellore,75.77
2006,Villupuram,87.5
2006,Virudhunagar,86.78
2007,Ariyalur,88.37
2007,Chennai,101.28
2007,Coimbatore,110.64
2007,Cuddalore,99.88
2007,Dharmapuri,87.32
2007,Dindigul,75.72
2007,Erode,71.12
2007,Kancheepuram,102.24
2007,Kanyakumari,117.11
2007,Karur,66.01
2007,Krishnagiri,80.8
2007,Madurai,76.39
2007,Nagapattinam,105.51
2007,Namakkal,76.73
2007,Perambular,85.22
2007,Pudukkottai,81.08
2007,Ramananthapuram,66.19
2007,Salem,86.97
2007,Sivagangai,79.73
2007,Thanjavur,86.33
2007,The Nilgiris,155.19
2007,Theni,89.21
2007,Thirunelveli,82.1
2007,Thiruvallur,95.98
2007,Thiruvarur,97.35
2007,Thoothukudi,53.64
2007,Tiruchirappalli,74.53
2007,Tiruppur,64.79
2007,Tiruvannamalai,96.27
2007,Vellore,88.4
2007,Villupuram,95.71
2007,Virudhunagar,69.16
2008,Ariyalur,123.61
2008,Chennai,131.64
2008,Coimbatore,121.28
2008,Cuddalore,135.15
2008,Dharmapuri,94.51
2008,Dindigul,92.93
2008,Erode,72.4
2008,Kancheepuram,124.98
2008,Kanyakumari,134.87
2008,Karur,79.45
2008,Krishnagiri,85.36
2008,Madurai,104.04
2008,Nagapattinam,157.87
2008,Namakkal,88.37
2008,Perambular,111.58
2008,Pudukkottai,118.09
2008,Ramananthapuram,99.15
2008,Salem,97.76
2008,Sivagangai,118.58
2008,Thanjavur,129.02
2008,The Nilgiris,159.89
2008,Theni,113.11
2008,Thirunelveli,110.32
2008,Thiruvallur,116.55
2008,Thiruvarur,146.84
2008,Thoothukudi,76.28
2008,Tiruchirappalli,94.94
2008,Tiruppur,71.14
2008,Tiruvannamalai,110.72
2008,Vellore,97.2
2008,Villupuram,117.64
2008,Virudhunagar,96.77
2009,Ariyalur,92.71
