year,dist_name,maximum_temperature
2006,Thirunelveli,31.86
2006,Thiruvallur,33.44
2006,Thiruvarur,32.45
2006,Thoothukudi,33.52
2006,Tiruchirappalli,33.57
2006,Tiruppur,32.04
2006,Tiruvannamalai,33.1
2006,Vellore,32.59
2006,Villupuram,33.2
2006,Virudhunagar,33.61
2007,Ariyalur,33.41
2007,Chennai,33.58
2007,Coimbatore,30.11
2007,Cuddalore,33.01
2007,Dharmapuri,32.24
2007,Dindigul,31.18
2007,Erode,31.74
2007,Kancheepuram,33.06
2007,Kanyakumari,29.93
2007,Karur,34.38
2007,Krishnagiri,31.19
2007,Madurai,33.51
2007,Nagapattinam,32.43
2007,Namakkal,33.26
2007,Perambular,33.91
2007,Pudukkottai,33.34
2007,Ramananthapuram,33.41
2007,Salem,32.64
2007,Sivagangai,33.56
2007,Thanjavur,32.85
2007,The Nilgiris,24.08
2007,Theni,30.21
2007,Thirunelveli,32.27
2007,Thiruvallur,33.28
2007,Thiruvarur,32.56
2007,Thoothukudi,33.91
2007,Tiruchirappalli,33.69
2007,Tiruppur,32.28
2007,Tiruvannamalai,32.91
2007,Vellore,32.36
2007,Villupuram,33.11
2007,Virudhunagar,33.95
2008,Ariyalur,33.27
2008,Chennai,33.7
2008,Coimbatore,30.06
2008,Cuddalore,32.97
2008,Dharmapuri,32.04
2008,Dindigul,31.0
2008,Erode,31.53
2008,Kancheepuram,33.14
2008,Kanyakumari,29.96
2008,Karur,34.11
2008,Krishnagiri,30.99
2008,Madurai,33.34
2008,Nagapattinam,32.48
2008,Namakkal,32.99
2008,Perambular,33.67
2008,Pudukkottai,33.04
2008,Ramananthapuram,33.27
2008,Salem,32.4
2008,Sivagangai,33.26
2008,Thanjavur,32.7
2008,The Nilgiris,24.04
2008,Theni,30.15
2008,Thirunelveli,32.24
2008,Thiruvallur,33.38
2008,Thiruvarur,32.54
2008,Thoothukudi,33.88
2008,Tiruchirappalli,33.37
2008,Tiruppur,32.14
2008,Tiruvannamalai,32.9
2008,Vellore,32.36
2008,Villupuram,33.06
2008,Virudhunagar,33.84
2009,Ariyalur,33.85
2009,Chennai,34.09
2009,Coimbatore,30.46
2009,Cuddalore,33.46
2009,Dharmapuri,32.73
2009,Dindigul,31.67
2009,Erode,32.12
2009,Kancheepuram,33.6
2009,Kanyakumari,30.27
2009,Karur,34.87
2009,Krishnagiri,31.65
2009,Madurai,34.03
2009,Nagapattinam,32.78
2009,Namakkal,33.73
2009,Perambular,34.4
2009,Pudukkottai,33.87
2009,Ramananthapuram,33.87
2009,Salem,33.13
2009,Sivagangai,34.1
2009,Thanjavur,33.3
2009,The Nilgiris,24.36
2009,Theni,30.67
2009,Thirunelveli,32.64
2009,Thiruvallur,33.84
2009,Thiruvarur,32.94
2009,Thoothukudi,34.31
2009,Tiruchirappalli,34.21
2009,Tiruppur,32.7
2009,Tiruvannamalai,33.52
2009,Vellore,32.99
2009,Villupuram,33.64
2009,Virudhunagar,34.42
2010,Ariyalur,33.82
2010,Chennai,33.87
2010,Coimbatore,30.43
2010,Cuddalore,33.41
2010,Dharmapuri,32.63
2010,Dindigul,31.55
2010,Erode,32.09
2010,Kancheepuram,33.39
2010,Kanyakumari,30.21
2010,Karur,34.77
2010,Krishnagiri,31.57
2010,Madurai,33.9
2010,Nagapattinam,32.82
2010,Namakkal,33.65
2010,Perambular,34.33
2010,Pudukkottai,33.77
2010,Ramananthapuram,33.83
2010,Salem,33.03
2010,Sivagangai,33.99
2010,Thanjavur,33.27
2010,The Nilgiris,24.38
2010,Theni,30.55
2010,Thirunelveli,32.56
2010,Thiruvallur,33.54
2010,Thiruvarur,32.96
2010,Thoothukudi,34.25
2010,Tiruchirappalli,34.11
2010,Tiruppur,32.63
2010,Tiruvannamalai,33.3
2010,Vellore,32.73
2010,Villupuram,33.5
2010,Virudhunagar,34.32
2011,Ariyalur,33.67
2011,Chennai,33.88
2011,Coimbatore,30.05
2011,Cuddalore,33.27
2011,Dharmapuri,32.33
2011,Dindigul,31.29
2011,Erode,31.65
2011,Kancheepuram,33.38
2011,Kanyakumari,30.08
2011,Karur,34.53
2011,Krishnagiri,31.19
2011,Madurai,33.68
2011,Nagapattinam,32.6
2011,Namakkal,33.39
2011,Perambular,34.22
2011,Pudukkottai,33.62
2011,Ramananthapuram,33.61
2011,Salem,32.78
2011,Sivagangai,33.81
2011,Thanjavur,33.09
2011,The Nilgiris,23.93
2011,Theni,30.3
2011,Thirunelveli,32.41
2011,Thiruvallur,33.56
2011,Thiruvarur,32.75
2011,Thoothukudi,34.07
2011,Tiruchirappalli,33.96
2011,Tiruppur,32.27
2011,Tiruvannamalai,33.24
2011,Vellore,32.64
2011,Villupuram,33.42
2011,Virudhunagar,34.11
2012,Ariyalur,33.86
2012,Chennai,33.99
2012,Coimbatore,30.47
2012,Cuddalore,33.46
2012,Dharmapuri,32.82
2012,Dindigul,31.68
2012,Erode,32.16
2012,Kancheepuram,33.57
2012,Kanyakumari,30.29
2012,Karur,34.91
2012,Krishnagiri,31.74
2012,Madurai,34.01
2012,Nagapattinam,32.69
2012,Namakkal,33.8
2012,Perambular,34.47
2012,Pudukkottai,33.82
2012,Ramananthapuram,33.79
2012,Salem,33.21
2012,Sivagangai,34.02
2012,Thanjavur,33.25
2012,The Nilgiris,24.4
2012,Theni,30.68
2012,Thirunelveli,32.67
2012,Thiruvallur,33.76
2012,Thiruvarur,32.86
2012,Thoothukudi,34.3
2012,Tiruchirappalli,34.26
2012,Tiruppur,32.72
2012,Tiruvannamalai,33.58
2012,Vellore,33.05
2012,Villupuram,33.69
2012,Virudhunagar,34.41
2013,Ariyalur,33.96
2013,Chennai,33.82
2013,Coimbatore,30.43
2013,Cuddalore,33.48
2013,Dharmapuri,32.81
2013,Dindigul,31.69
2013,Erode,32.2
2013,Kancheepuram,33.43
2013,Kanyakumari,30.18
2013,Karur,35.0
2013,Krishnagiri,31.67
2013,Madurai,34.02
2013,Nagapattinam,32.76
2013,Namakkal,33.9
2013,Perambular,34.58
2013,Pudukkottai,33.99
2013,Ramananthapuram,33.91
2013,Salem,33.27
2013,Sivagangai,34.17
2013,Thanjavur,33.38
2013,The Nilgiris,24.33
2013,Theni,30.58
2013,Thirunelveli,32.58
2013,Thiruvallur,33.58
2013,Thiruvarur,32.96
2013,Thoothukudi,34.28
2013,Tiruchirappalli,34.39
2013,Tiruppur,32.72
2013,Tiruvannamalai,33.47
2013,Vellore,32.9
2013,Villupuram,33.66
2013,Virudhunagar,34.39
2014,Ariyalur,34.06
2014,Chennai,34.26
2014,Coimbatore,30.69
2014,Cuddalore,33.69
2014,Dharmapuri,33.09
2014,Dindigul,31.81
2014,Erode,32.38
2014,Kancheepuram,33.85
2014,Kanyakumari,30.36
2014,Karur,35.07
2014,Krishnagiri,32.01
2014,Madurai,34.11
2014,Nagapattinam,32.88
2014,Namakkal,34.01
2014,Perambular,34.69
2014,Pudukkottai,33.96
2014,Ramananthapuram,33.88
2014,Salem,33.45
2014,Sivagangai,34.13
2014,Thanjavur,33.42
2014,The Nilgiris,24.63
2014,Theni,30.79
2014,Thirunelveli,32.75
2014,Thiruvallur,34.03
2014,Thiruvarur,33.04
2014,Thoothukudi,34.36
2014,Tiruchirappalli,34.44
2014,Tiruppur,32.9
2014,Tiruvannamalai,33.86
2014,Vellore,33.32
2014,Villupuram,33.95
2014,Virudhunagar,34.49
2015,Ariyalur,33.96
2015,Chennai,34.15
2015,Coimbatore,30.63
2015,Cuddalore,33.61
2015,Dharmapuri,32.69
2015,Dindigul,31.56
2015,Erode,32.16
2015,Kancheepuram,33.68
2015,Kanyakumari,30.47
2015,Karur,34.77
2015,Krishnagiri,31.61
2015,Madurai,33.9
2015,Nagapattinam,33.07
2015,Namakkal,33.69
2015,Perambular,34.42
2015,Pudukkottai,33.76
2015,Ramananthapuram,33.86
2015,Salem,33.08
2015,Sivagangai,33.94
2015,Thanjavur,33.37
2015,The Nilgiris,24.66
2015,Theni,30.64
2015,Thirunelveli,32.76
2015,Thiruvallur,33.82
2015,Thiruvarur,33.15
2015,Thoothukudi,34.4
2015,Tiruchirappalli,34.11
2015,Tiruppur,32.71
2015,Tiruvannamalai,33.49
2015,Vellore,32.88
2015,Villupuram,33.7
2015,Virudhunagar,34.37
