year,dist_name,actual_evapotranspiration
2004,Virudhunagar,74.15
2005,Ariyalur,80.79
2005,Chennai,80.88
2005,Coimbatore,71.47
2005,Cuddalore,84.74
2005,Dharmapuri,79.85
2005,Dindigul,63.18
2005,Erode,57.21
2005,Kancheepuram,82.97
2005,Kanyakumari,87.64
2005,Karur,59.12
2005,Krishnagiri,74.2
2005,Madurai,67.11
2005,Nagapattinam,83.94
2005,Namakkal,65.65
2005,Perambular,78.51
2005,Pudukkottai,76.19
2005,Ramananthapuram,62.39
2005,Salem,74.36
2005,Sivagangai,77.18
2005,Thanjavur,78.99
2005,The Nilgiris,73.6
2005,Theni,73.03
2005,Thirunelveli,66.67
2005,Thiruvallur,82.5
2005,Thiruvarur,83.86
2005,Thoothukudi,47.96
2005,Tiruchirappalli,67.4
2005,Tiruppur,52.4
2005,Tiruvannamalai,86.72
2005,Vellore,81.22
2005,Villupuram,84.42
2005,Virudhunagar,62.45
2006,Ariyalur,86.14
2006,Chennai,87.99
2006,Coimbatore,73.59
2006,Cuddalore,87.24
2006,Dharmapuri,73.84
2006,Dindigul,65.41
2006,Erode,53.61
2006,Kancheepuram,88.36
2006,Kanyakumari,89.79
2006,Karur,57.02
2006,Krishnagiri,61.54
2006,Madurai,73.4
2006,Nagapattinam,88.06
2006,Namakkal,63.8
2006,Perambular,81.3
2006,Pudukkottai,74.42
2006,Ramananthapuram,68.6
2006,Salem,71.67
2006,Sivagangai,72.89
2006,Thanjavur,85.29
2006,The Nilgiris,74.64
2006,Theni,79.98
2006,Thirunelveli,76.51
2006,Thiruvallur,88.91
2006,Thiruvarur,89.93
2006,Thoothukudi,55.62
2006,Tiruchirappalli,67.72
2006,Tiruppur,52.34
2006,Tiruvannamalai,87.41
2006,Vellore,79.76
2006,Villupuram,85.75
2006,Virudhunagar,72.77
2007,Ariyalur,91.65
2007,Chennai,97.47
2007,Coimbatore,79.58
2007,Cuddalore,94.79
2007,Dharmapuri,80.87
2007,Dindigul,71.7
2007,Erode,67.09
2007,Kancheepuram,96.37
2007,Kanyakumari,89.92
2007,Karur,65.9
2007,Krishnagiri,74.06
2007,Madurai,76.56
2007,Nagapattinam,91.5
2007,Namakkal,73.79
2007,Perambular,87.51
2007,Pudukkottai,86.33
2007,Ramananthapuram,73.68
2007,Salem,81.71
2007,Sivagangai,87.16
2007,Thanjavur,90.5
2007,The Nilgiris,78.72
2007,Theni,83.88
2007,Thirunelveli,68.72
2007,Thiruvallur,94.05
2007,Thiruvarur,93.48
2007,Thoothukudi,50.53
2007,Tiruchirappalli,75.13
2007,Tiruppur,59.5
2007,Tiruvannamalai,90.56
2007,Vellore,82.52
2007,Villupuram,93.29
2007,Virudhunagar,74.16
2008,Ariyalur,87.64
2008,Chennai,83.24
2008,Coimbatore,80.32
2008,Cuddalore,95.15
2008,Dharmapuri,81.46
2008,Dindigul,74.1
2008,Erode,61.91
2008,Kancheepuram,88.67
2008,Kanyakumari,97.69
2008,Karur,68.67
2008,Krishnagiri,74.28
2008,Madurai,82.97
2008,Nagapattinam,102.02
2008,Namakkal,75.06
2008,Perambular,83.75
2008,Pudukkottai,83.33
2008,Ramananthapuram,75.7
2008,Salem,81.47
2008,Sivagangai,84.15
2008,Thanjavur,88.18
2008,The Nilgiris,78.34
2008,Theni,89.55
2008,Thirunelveli,82.27
2008,Thiruvallur,81.85
2008,Thiruvarur,98.63
2008,Thoothukudi,59.41
2008,Tiruchirappalli,76.4
2008,Tiruppur,59.93
2008,Tiruvannamalai,89.47
2008,Vellore,82.83
2008,Villupuram,87.99
2008,Virudhunagar,81.47
2009,Ariyalur,90.41
2009,Chennai,78.84
2009,Coimbatore,73.53
2009,Cuddalore,88.69
2009,Dharmapuri,76.3
2009,Dindigul,69.89
2009,Erode,55.07
2009,Kancheepuram,81.5
2009,Kanyakumari,87.32
2009,Karur,62.58
2009,Krishnagiri,65.99
2009,Madurai,77.67
2009,Nagapattinam,90.42
2009,Namakkal,67.05
2009,Perambular,85.27
2009,Pudukkottai,88.63
2009,Ramananthapuram,77.56
2009,Salem,73.14
2009,Sivagangai,92.41
2009,Thanjavur,91.0
2009,The Nilgiris,72.95
2009,Theni,82.94
2009,Thirunelveli,71.09
2009,Thiruvallur,79.38
2009,Thiruvarur,92.56
2009,Thoothukudi,51.72
2009,Tiruchirappalli,73.99
2009,Tiruppur,53.34
2009,Tiruvannamalai,82.44
2009,Vellore,74.94
2009,Villupuram,84.54
2009,Virudhunagar,74.27
2010,Ariyalur,93.35
2010,Chennai,103.7
2010,Coimbatore,79.46
2010,Cuddalore,97.5
2010,Dharmapuri,74.03
2010,Dindigul,71.49
2010,Erode,61.9
2010,Kancheepuram,100.82
2010,Kanyakumari,93.12
2010,Karur,65.1
2010,Krishnagiri,68.04
2010,Madurai,76.01
2010,Nagapattinam,96.09
2010,Namakkal,70.42
2010,Perambular,84.87
2010,Pudukkottai,86.07
2010,Ramananthapuram,76.91
2010,Salem,75.8
2010,Sivagangai,84.31
2010,Thanjavur,93.88
2010,The Nilgiris,82.2
2010,Theni,82.55
2010,Thirunelveli,76.03
2010,Thiruvallur,101.83
2010,Thiruvarur,98.32
2010,Thoothukudi,55.86
2010,Tiruchirappalli,72.52
2010,Tiruppur,60.54
2010,Tiruvannamalai,89.19
2010,Vellore,82.26
2010,Villupuram,92.5
2010,Virudhunagar,76.3
2011,Ariyalur,92.78
2011,Chennai,107.08
2011,Coimbatore,73.86
2011,Cuddalore,97.19
2011,Dharmapuri,81.12
2011,Dindigul,70.42
2011,Erode,56.99
2011,Kancheepuram,104.33
2011,Kanyakumari,88.78
2011,Karur,65.17
2011,Krishnagiri,71.11
2011,Madurai,75.27
2011,Nagapattinam,92.15
2011,Namakkal,69.91
2011,Perambular,88.5
2011,Pudukkottai,84.49
2011,Ramananthapuram,74.13
2011,Salem,78.26
2011,Sivagangai,85.11
2011,Thanjavur,90.55
2011,The Nilgiris,74.29
2011,Theni,83.59
2011,Thirunelveli,73.37
2011,Thiruvallur,102.43
2011,Thiruvarur,93.08
2011,Thoothukudi,55.83
2011,Tiruchirappalli,74.83
2011,Tiruppur,55.74
2011,Tiruvannamalai,96.36
2011,Vellore,86.17
2011,Villupuram,97.63
2011,Virudhunagar,77.01
2012,Ariyalur,77.43
2012,Chennai,92.68
2012,Coimbatore,61.98
2012,Cuddalore,85.44
2012,Dharmapuri,59.84
2012,Dindigul,53.04
2012,Erode,43.39
2012,Kancheepuram,91.41
2012,Kanyakumari,77.65
2012,Karur,45.79
2012,Krishnagiri,54.09
2012,Madurai,58.72
2012,Nagapattinam,83.38
2012,Namakkal,51.27
2012,Perambular,67.68
2012,Pudukkottai,65.06
2012,Ramananthapuram,63.35
2012,Salem,59.18
2012,Sivagangai,63.93
2012,Thanjavur,76.04
2012,The Nilgiris,67.86
2012,Theni,65.22
2012,Thirunelveli,64.82
2012,Thiruvallur,89.69
2012,Thiruvarur,84.1
2012,Thoothukudi,50.9
2012,Tiruchirappalli,54.93
2012,Tiruppur,41.1
2012,Tiruvannamalai,81.59
2012,Vellore,70.79
2012,Villupuram,83.39
2012,Virudhunagar,60.67
2013,Ariyalur,79.17
2013,Chennai,102.76
2013,Coimbatore,68.36
2013,Cuddalore,91.99
2013,Dharmapuri,73.13
2013,Dindigul,56.76
2013,Erode,50.09
2013,Kancheepuram,100.48
2013,Kanyakumari,91.5
2013,Karur,49.34
2013,Krishnagiri,67.44
2013,Madurai,61.54
2013,Nagapattinam,94.03
2013,Namakkal,59.47
2013,Perambular,73.24
2013,Pudukkottai,67.5
2013,Ramananthapuram,59.72
2013,Salem,70.47
2013,Sivagangai,66.93
2013,Thanjavur,76.22
2013,The Nilgiris,73.0
2013,Theni,70.8
2013,Thirunelveli,72.87
2013,Thiruvallur,97.73
2013,Thiruvarur,88.28
2013,Thoothukudi,49.02
2013,Tiruchirappalli,59.97
2013,Tiruppur,45.16
2013,Tiruvannamalai,90.73
2013,Vellore,83.04
2013,Villupuram,87.29
2013,Virudhunagar,60.5
2014,Ariyalur,67.87
2014,Chennai,81.18
2014,Coimbatore,69.99
2014,Cuddalore,76.58
2014,Dharmapuri,66.96
2014,Dindigul,57.8
2014,Erode,51.19
2014,Kancheepuram,80.96
2014,Kanyakumari,83.31
2014,Karur,51.3
2014,Krishnagiri,62.0
2014,Madurai,59.52
2014,Nagapattinam,80.67
2014,Namakkal,59.44
2014,Perambular,64.96
2014,Pudukkottai,60.52
2014,Ramananthapuram,51.74
2014,Salem,65.52
2014,Sivagangai,59.15
2014,Thanjavur,65.38
2014,The Nilgiris,70.02
2014,Theni,67.38
2014,Thirunelveli,66.24
2014,Thiruvallur,79.38
2014,Thiruvarur,74.32
2014,Thoothukudi,48.16
2014,Tiruchirappalli,56.69
2014,Tiruppur,49.63
2014,Tiruvannamalai,76.54
2014,Vellore,71.63
2014,Villupuram,74.08
2014,Virudhunagar,55.38
2015,Ariyalur,95.24
2015,Chennai,86.07
2015,Coimbatore,85.41
2015,Cuddalore,98.23
2015,Dharmapuri,85.82
2015,Dindigul,83.65
2015,Erode,70.22
2015,Kancheepuram,87.59
2015,Kanyakumari,101.55
2015,Karur,79.14
2015,Krishnagiri,74.08
2015,Madurai,91.6
2015,Nagapattinam,106.54
2015,Namakkal,82.8
2015,Perambular,94.99
2015,Pudukkottai,94.57
2015,Ramananthapuram,84.66
2015,Salem,86.66
2015,Sivagangai,97.25
2015,Thanjavur,95.73
2015,The Nilgiris,84.35
2015,Theni,93.41
2015,Thirunelveli,86.63
2015,Thiruvallur,81.26
2015,Thiruvarur,103.29
2015,Thoothukudi,65.99
2015,Tiruchirappalli,86.84
2015,Tiruppur,68.02
2015,Tiruvannamalai,88.5
2015,Vellore,77.57
2015,Villupuram,91.9
2015,Virudhunagar,87.69
