year,dist_name,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons
1996,Sivagangai,1876.0,3900.0,408.0,660.0,109.0,392.0,2393.0,4952.0
1996,Thanjavur,12606.0,20786.0,3412.0,5698.0,4258.0,5524.0,20276.0,32008.0
1996,The Nilgiris,3451.0,2689.0,655.0,741.0,403.0,322.0,4509.0,3752.0
1996,Theni,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1996,Thirunelveli,6588.0,9978.0,1761.0,3067.0,1923.0,2962.0,10272.0,16007.0
1996,Thiruvallur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1996,Thiruvarur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1996,Thoothukudi,2255.0,2909.0,652.0,972.0,675.0,986.0,3582.0,4867.0
1996,Tiruchirappalli,12629.0,30159.0,4351.0,9530.0,6876.0,9873.0,23856.0,49562.0
1996,Tiruvannamalai,5597.0,14921.0,1879.0,5768.0,1831.0,3812.0,9307.0,24501.0
1996,Vellore,9871.0,22404.0,2724.0,6993.0,3637.0,5216.0,16232.0,34613.0
1996,Villupuram,11407.0,22692.0,2791.0,7956.0,4117.0,8661.0,18315.0,39309.0
1996,Virudhunagar,2012.0,4853.0,452.0,1160.0,471.0,1794.0,2935.0,7807.0
1997,Coimbatore,17434.0,15552.0,5607.0,4604.0,15290.0,8835.0,38331.0,28991.0
1997,Cuddalore,11294.0,12759.0,4989.0,4300.0,5223.0,5216.0,21506.0,22275.0
1997,Dharmapuri,7998.0,8280.0,4207.0,3175.0,5207.0,2850.0,17412.0,14305.0
1997,Dindigul,4994.0,9858.0,2906.0,3763.0,2389.0,4437.0,10289.0,18058.0
1997,Erode,15981.0,18141.0,8049.0,6225.0,7851.0,7969.0,31881.0,32335.0
1997,Kancheepuram,12976.0,23168.0,5852.0,7045.0,4618.0,6475.0,23446.0,36688.0
1997,Kanyakumari,2977.0,3188.0,1618.0,1533.0,2079.0,1887.0,6674.0,6608.0
1997,Karur,0.0,641.0,0.0,525.0,0.0,789.0,0.0,1955.0
1997,Madurai,11086.0,19705.0,5365.0,5345.0,6939.0,9801.0,23390.0,34851.0
1997,Nagapattinam,16403.0,12486.0,8603.0,2597.0,4490.0,2965.0,29496.0,18048.0
1997,Namakkal,0.0,805.0,0.0,479.0,0.0,83.0,0.0,1367.0
