year,dist_name,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha
2001,Virudhunagar,29.39,92.27,3140.0
2002,Chennai,0.0,0.0,0.0
2002,Coimbatore,6.58,22.15,3366.0
2002,Cuddalore,102.34,281.71,2753.0
2002,Dharmapuri,30.15,77.6,2574.0
2002,Dindigul,15.37,52.71,3429.0
2002,Erode,16.69,74.47,4462.0
2002,Kancheepuram,97.42,278.09,2855.0
2002,Kanyakumari,26.05,98.47,3780.0
2002,Karur,12.84,37.51,2921.0
2002,Madurai,43.96,112.17,2552.0
2002,Nagapattinam,137.72,159.45,1158.0
2002,Namakkal,9.44,34.97,3704.0
2002,Perambular,35.88,60.51,1686.0
2002,Pudukkottai,76.44,158.38,2072.0
2002,Ramananthapuram,126.15,159.79,1267.0
2002,Salem,11.06,39.59,3580.0
2002,Sivagangai,79.74,139.34,1747.0
2002,Thanjavur,139.19,318.33,2287.0
2002,The Nilgiris,1.85,6.23,3368.0
2002,Theni,13.78,54.95,3988.0
2002,Thirunelveli,66.21,266.29,4022.0
2002,Thiruvallur,87.76,279.52,3185.0
2002,Thiruvarur,131.06,112.18,856.0
2002,Thoothukudi,14.72,64.5,4382.0
2002,Tiruchirappalli,51.75,154.95,2994.0
2002,Tiruvannamalai,43.87,115.45,2632.0
2002,Vellore,26.29,89.86,3418.0
2002,Villupuram,80.63,241.29,2993.0
2002,Virudhunagar,31.61,86.66,2742.0
2003,Chennai,0.0,0.0,0.0
2003,Coimbatore,3.65,10.64,2915.0
2003,Cuddalore,104.16,317.66,3050.0
2003,Dharmapuri,4.49,17.86,3978.0
2003,Dindigul,11.44,32.38,2830.0
2003,Erode,1.94,7.96,4103.0
2003,Kancheepuram,97.12,295.64,3044.0
2003,Kanyakumari,17.32,52.9,3054.0
2003,Karur,9.32,24.07,2583.0
2003,Krishnagiri,11.51,20.95,1820.0
2003,Madurai,23.93,65.02,2717.0
2003,Nagapattinam,136.04,259.87,1910.0
2003,Namakkal,7.48,24.36,3257.0
2003,Perambular,36.38,85.91,2361.0
2003,Pudukkottai,79.77,146.6,1838.0
2003,Ramananthapuram,121.03,20.77,172.0
2003,Salem,13.59,43.65,3212.0
2003,Sivagangai,71.96,49.83,692.0
2003,Thanjavur,123.29,354.94,2879.0
2003,The Nilgiris,1.64,5.41,3299.0
2003,Theni,14.23,55.23,3881.0
2003,Thirunelveli,52.47,197.85,3771.0
2003,Thiruvallur,74.94,195.54,2609.0
2003,Thiruvarur,121.44,169.43,1395.0
2003,Thoothukudi,13.54,56.89,4202.0
2003,Tiruchirappalli,42.93,126.08,2937.0
2003,Tiruvannamalai,70.72,198.45,2806.0
2003,Vellore,30.91,108.17,3500.0
2003,Villupuram,75.28,234.75,3118.0
2003,Virudhunagar,24.14,43.98,1822.0
2004,Chennai,0.0,0.0,0.0
2004,Coimbatore,7.24,24.45,3377.0
2004,Cuddalore,114.6,315.7,2755.0
2004,Dharmapuri,13.92,38.57,2771.0
2004,Dindigul,21.03,74.25,3531.0
2004,Erode,55.35,216.25,3907.0
2004,Kancheepuram,101.67,307.11,3021.0
2004,Kanyakumari,22.02,86.49,3928.0
2004,Karur,18.23,54.28,2978.0
2004,Krishnagiri,17.62,45.25,2568.0
2004,Madurai,60.37,196.58,3256.0
2004,Nagapattinam,153.14,140.66,919.0
2004,Namakkal,9.04,28.79,3185.0
2004,Perambular,46.43,108.51,2337.0
2004,Pudukkottai,94.03,277.28,2949.0
2004,Ramananthapuram,126.61,254.7,2012.0
2004,Salem,27.3,96.63,3540.0
2004,Sivagangai,85.14,179.54,2109.0
2004,Thanjavur,160.61,439.32,2735.0
2004,The Nilgiris,1.44,4.76,3306.0
2004,Theni,16.64,67.09,4032.0
2004,Thirunelveli,86.83,358.92,4134.0
2004,Thiruvallur,66.73,199.89,2996.0
2004,Thiruvarur,148.61,239.81,1614.0
2004,Thoothukudi,16.42,67.93,4137.0
2004,Tiruchirappalli,62.18,205.4,3303.0
2004,Tiruvannamalai,116.82,330.49,2829.0
2004,Vellore,29.4,90.15,3066.0
2004,Villupuram,163.7,525.85,3212.0
2004,Virudhunagar,29.71,86.99,2928.0
2005,Chennai,0.0,0.0,0.0
2005,Coimbatore,7.41,20.67,2789.0
2005,Cuddalore,114.29,218.35,1910.0
2005,Dharmapuri,29.02,85.39,2942.0
2005,Dindigul,23.74,75.3,3172.0
2005,Erode,43.54,179.56,4124.0
2005,Kancheepuram,114.72,293.88,2562.0
2005,Kanyakumari,21.71,82.52,3801.0
2005,Karur,18.4,48.23,2621.0
2005,Krishnagiri,21.98,57.8,2630.0
2005,Madurai,71.0,234.49,3303.0
2005,Nagapattinam,158.1,136.64,864.0
2005,Namakkal,18.83,68.85,3656.0
2005,Perambular,45.95,114.56,2493.0
2005,Pudukkottai,95.99,232.57,2423.0
2005,Ramananthapuram,127.4,247.08,1939.0
2005,Salem,37.33,137.29,3678.0
2005,Sivagangai,89.92,192.74,2143.0
2005,Thanjavur,154.9,399.48,2579.0
2005,The Nilgiris,1.43,4.72,3301.0
2005,Theni,15.69,65.29,4161.0
2005,Thirunelveli,86.4,309.07,3577.0
2005,Thiruvallur,96.99,271.58,2800.0
2005,Thiruvarur,156.1,243.45,1560.0
2005,Thoothukudi,19.93,81.82,4105.0
2005,Tiruchirappalli,79.58,236.74,2975.0
2005,Tiruvannamalai,142.74,393.53,2757.0
2005,Vellore,58.16,167.45,2879.0
2005,Villupuram,168.44,511.93,3039.0
2005,Virudhunagar,30.78,98.48,3199.0
2006,Chennai,0.0,0.0,0.0
2006,Coimbatore,6.22,24.01,3860.0
2006,Cuddalore,105.44,392.38,3721.0
2006,Dharmapuri,21.06,76.07,3612.0
2006,Dindigul,18.61,81.25,4366.0
2006,Erode,38.55,161.6,4192.0
2006,Kancheepuram,103.11,395.13,3832.0
2006,Kanyakumari,21.41,94.13,4397.0
2006,Karur,13.75,48.27,3511.0
2006,Krishnagiri,17.89,51.04,2853.0
2006,Madurai,67.23,267.52,3979.0
2006,Nagapattinam,165.71,630.61,3806.0
2006,Namakkal,15.22,57.68,3790.0
2006,Perambular,41.93,131.98,3148.0
2006,Pudukkottai,93.37,283.99,3042.0
2006,Ramananthapuram,130.42,223.19,1711.0
2006,Salem,27.48,99.81,3632.0
2006,Sivagangai,81.39,109.45,1345.0
2006,Thanjavur,164.24,598.16,3642.0
2006,The Nilgiris,1.25,4.0,3200.0
2006,Theni,14.92,64.21,4304.0
2006,Thirunelveli,91.88,385.28,4193.0
2006,Thiruvallur,89.67,318.47,3552.0
2006,Thiruvarur,176.9,586.38,3315.0
2006,Thoothukudi,21.38,94.0,4397.0
2006,Tiruchirappalli,71.72,282.44,3938.0
2006,Tiruvannamalai,111.46,366.05,3284.0
2006,Vellore,41.69,129.19,3099.0
2006,Villupuram,144.78,496.11,3427.0
2006,Virudhunagar,32.74,158.21,4832.0
2007,Chennai,0.0,0.0,0.0
2007,Coimbatore,6.48,24.46,3775.0
2007,Cuddalore,102.8,335.12,3260.0
2007,Dharmapuri,18.8,70.4,3745.0
2007,Dindigul,17.28,67.84,3926.0
2007,Erode,38.36,166.86,4350.0
2007,Kancheepuram,91.36,345.13,3778.0
2007,Kanyakumari,20.35,90.21,4433.0
2007,Karur,12.43,40.28,3241.0
2007,Krishnagiri,14.98,47.67,3182.0
2007,Madurai,61.86,214.88,3474.0
2007,Nagapattinam,154.04,289.32,1878.0
2007,Namakkal,12.21,45.3,3710.0
2007,Perambular,38.12,95.43,2503.0
2007,Pudukkottai,88.67,159.55,1799.0
2007,Ramananthapuram,123.77,29.88,241.0
2007,Salem,21.71,72.08,3320.0
2007,Sivagangai,76.73,78.94,1029.0
